# OpenSubtitles2018 frequency export (hermitdave/FrequencyWords)
# source: https://github.com/hermitdave/FrequencyWords
# exported-at: 2026-08-26T17:45:21+00:00
# license: CC BY-SA-4.0
3869	informasjon
3867	advokat
3863	tilgi
3855	pleide
3850	bildet
3841	folkens
3830	slutter
3823	sov
3818	både
3815	jorden
3811	slike
3806	kjempe
3801	levende
3800	lukter
3798	maten
3791	fbi
3776	ma
3768	trygg
3757	film
3756	betalt
3751	alex
3750	kongen
3749	ordner
3746	ferdige
3738	høy
3738	møtes
3730	selger
3727	virket
3719	het
3709	området
3709	presidenten
3698	fine
3691	kaster
3682	fru
3674	viste
3658	støtte
3650	n
3647	syntes
3641	drep
3641	ræva
3637	forsvant
3637	skrevet
3627	talt
3625	tredje
3622	telefon
3619	lag
3616	lyset
3615	reiser
3610	hund
3605	slått
3598	sjekket
3594	velge
3593	pen
3591	stakkars
3582	filmen
3581	heldig
3579	kjøper
3578	moro
3573	nick
3568	håret
3563	kampen
3557	løy
3555	kjæreste
3551	festen
3544	enten
3532	valgte
3528	ray
3525	bortsett
3525	møtte
3520	paul
3520	munnen
3518	nærmere
3501	måned
3500	ordentlig
3497	liksom
3484	forandret
3483	respekt
3478	spor
3478	kalte
3476	forlot
3471	oberst
3464	takke
3458	spørsmålet
3457	møter
3456	stakk
3455	frue
3453	himmelen
3452	hvilke
3449	ene
3431	besøk
3430	dritten
3421	pistolen
3419	ringt
3415	billy
3414	mål
3408	retten
3408	halv
3406	nærheten
3404	glede
3404	merke
3391	legen
3386	stans
3383	johnny
3383	london
3383	frøken
3382	saker
3382	bedt
3381	lært
3377	greier
3368	årene
3364	tjener
3359	vakkert
3358	pleier
3354	slutten
3350	bekymre
3345	greia
3345	klær
3343	tii
3334	tegn
3321	hunden
3319	trist
3311	henry
3310	gave
3305	trygt
3302	ungene
3300	prater
3300	fange
3292	forferdelig
3290	minst
3288	martin
3285	sarah
3284	jesus
3280	makt
3279	gravid
3276	båten
3269	danse
3263	steve
3262	ekstra
3262	ansvar
3250	spilte
3243	håpet
3243	stemme
3241	fikse
3238	åh
3222	fullt
3220	kvitt
3219	innom
3217	faller
3216	hundre
3214	meget
3212	politi
3208	flytt
3207	lunsj
3207	stol
3190	våpenet
3189	såret
3187	lest
3185	tjene
3169	hjernen
3168	skogen
3166	musikk
3166	svare
3159	lurt
3157	poenget
3156	frisk
3152	jul
3149	krever
3148	sikkerhet
3145	drap
3145	vakre
3143	sjekker
3141	dårlige
3133	bestemt
3129	herlig
3127	bordet
3124	thomas
3109	skip
3107	jævlig
3104	dele
3101	bok
3099	konge
3098	o
3090	nummeret
3088	jake
3087	tommy
3087	max
3083	nødvendig
3078	fører
3077	glipp
3073	likt
3067	blå
3066	minner
3064	taket
3064	sverger
3064	lete
3061	starte
3060	vennligst
3058	leke
3050	tilhører
3044	jimmy
3041	dypt
3040	leser
3039	trøbbel
3038	paris
3031	nervøs
3029	begynt
3027	nøyaktig
3027	karer
3024	drøm
3022	bakken
3021	starter
3021	mangler
3019	altfor
3018	bry
3010	trenge
3007	selskap
3004	høyere
2994	truffet
2993	knapt
2992	glemmer
